PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_2	serial	131072	571.160645	2000	4	1	15
32	PACKET_2	parallel	131072	651.067627	2000	4	4	1
32	PACKET_2	serial	131072	567.756348	2000	4	4	1
32	PACKET_2	parallel	65536	370.797668	2000	4	4	2
32	PACKET_2	serial	131072	568.310364	2000	4	4	2
32	PACKET_2	parallel	43690	297.115326	2000	4	4	3
32	PACKET_2	serial	131072	573.164673	2000	4	4	3
32	PACKET_2	parallel	18724	151.910339	2000	4	4	7
32	PACKET_2	serial	131072	573.827332	2000	4	4	7
32	PACKET_2	parallel	8738	195.740997	2000	4	4	15
32	PACKET_2	serial	131072	569.441650	2000	4	4	15
32	PACKET_2	parallel	131072	637.142334	2000	4	8	1
32	PACKET_2	serial	131072	568.856323	2000	4	8	1
32	PACKET_2	parallel	65536	330.781006	2000	4	8	2
32	PACKET_2	serial	131072	566.438660	2000	4	8	2
32	PACKET_2	parallel	43690	232.634674	2000	4	8	3
32	PACKET_2	serial	131072	567.833679	2000	4	8	3
32	PACKET_2	parallel	18724	108.336670	2000	4	8	7
32	PACKET_2	serial	131072	566.226990	2000	4	8	7
32	PACKET_2	parallel	8738	147.857666	2000	4	8	15
32	PACKET_2	serial	131072	564.310303	2000	4	8	15
32	PACKET_2	parallel	131072	1218.031372	4000	4	1	1
32	PACKET_2	serial	131072	1122.286011	4000	4	1	1
32	PACKET_2	parallel	65536	631.458679	4000	4	1	2
32	PACKET_2	serial	131072	1121.069336	4000	4	1	2
32	PACKET_2	parallel	43690	434.149689	4000	4	1	3
32	PACKET_2	serial	131072	1121.194702	4000	4	1	3
32	PACKET_2	parallel	18724	202.110992	4000	4	1	7
32	PACKET_2	serial	131072	1122.062622	4000	4	1	7
32	PACKET_2	parallel	8738	127.734337	4000	4	1	15
32	PACKET_2	serial	131072	1121.583984	4000	4	1	15
32	PACKET_2	parallel	131072	1223.786377	4000	4	4	1
32	PACKET_2	serial	131072	1124.442383	4000	4	4	1
32	PACKET_2	parallel	65536	661.846680	4000	4	4	2
32	PACKET_2	serial	131072	1119.969604	4000	4	4	2
32	PACKET_2	parallel	43690	468.497986	4000	4	4	3
32	PACKET_2	serial	131072	1123.292358	4000	4	4	3
32	PACKET_2	parallel	18724	231.223663	4000	4	4	7
32	PACKET_2	serial	131072	1128.855957	4000	4	4	7
32	PACKET_2	parallel	8738	191.919998	4000	4	4	15
32	PACKET_2	serial	131072	1126.370972	4000	4	4	15
32	PACKET_2	parallel	131072	1210.798096	4000	4	8	1
32	PACKET_2	serial	131072	1128.709351	4000	4	8	1
32	PACKET_2	parallel	65536	623.729980	4000	4	8	2
32	PACKET_2	serial	131072	1141.510620	4000	4	8	2
32	PACKET_2	parallel	43690	439.223328	4000	4	8	3
32	PACKET_2	serial	131072	1131.480103	4000	4	8	3
32	PACKET_2	parallel	18724	195.522675	4000	4	8	7
32	PACKET_2	serial	131072	1124.911377	4000	4	8	7
32	PACKET_2	parallel	8738	132.623337	4000	4	8	15
32	PACKET_2	serial	131072	1124.564697	4000	4	8	15
32	PACKET_2	parallel	131072	2359.634521	8000	4	1	1
32	PACKET_2	serial	131072	2229.387207	8000	4	1	1
32	PACKET_2	parallel	65536	1201.568115	8000	4	1	2
32	PACKET_2	serial	131072	2230.373535	8000	4	1	2
32	PACKET_2	parallel	43690	828.448975	8000	4	1	3
32	PACKET_2	serial	131072	2233.743896	8000	4	1	3
32	PACKET_2	parallel	18724	374.076660	8000	4	1	7
32	PACKET_2	serial	131072	2256.734863	8000	4	1	7
32	PACKET_2	parallel	8738	253.735657	8000	4	1	15
32	PACKET_2	serial	131072	2237.963379	8000	4	1	15
32	PACKET_2	parallel	131072	2383.597412	8000	4	4	1
